title,author,publisher,price,rating,ratings_count
Pollyanna: The First Glad Book. Pollyanna Grows Up: The Second Glad Book / Поллианна. Поллианна вырастает,Eleanor Hodgman Porter,,5.17,5.0,1
Таинственный остров / The Mysterious Island. Уровень 2,Jules Verne,,2.7,3.69,35
The Twelve Chairs / Двенадцать стульев. Книга для чтения на английском языке,"Ilya Ilf, Yevgeny Petrov",,4.97,5.0,1
Сага о Форсайтах. Собственник. Книга для чтения на английском языке,John Galsworthy,,7.11,4.42,24
From Friend To Fake Fiancé,Jules Bennett,HarperCollins Publishers,4.54,5.0,1
Дневник памяти / The Notebook,Nicholas Sparks,,4.94,3.0,6
Remember me,Dream,,4.93,4.89,46
If She Knew,Blake Pierce,,4.93,3.8,5
Отель / Hotel,Arthur Hailey,,2.46,4.17,6
Dark Avenues / Темные аллеи,Ivan Bunin,,6.79,3.6,46
The Hound of the Baskervilles / Собака Баскервилей. Книга для чтения на английском языке,Arthur Conan Doyle,,5.17,4.0,3
Алиса в Стране чудес / Alice's Adventures in Wonderland. Читаем в оригинале с комментарием,Lewis Carroll,,4.68,5.0,1
Голодные игры / The Hunger Games. Уникальная методика обучения языку В. Ратке,Suzanne Collins,,4.68,3.5,6
Ingots of Gold,Agatha Christie,MB Cooltura,4.05,4.8,4
Тренажер по правилам чтения. Английский для школьников,Т. В. Беляцкая,,6.34,4.89,9
Ivanhoe,Walter Scott,DigiCat,2.31,4.7,66
The Art of War (Unabridged),Sun Tzu,Magpie Audio,4.58,5.0,1
The Invisible Man / Человек-невидимка,Herbert George Wells,,4.93,4.0,1
If She Ran,Blake Pierce,,4.43,5.0,4
If She Hid,Blake Pierce,,4.43,3.9,130
Загадочная история Бенджамина Баттона / The Curious Case of Benjamin Button,Francis Scott Fitzgerald,,2.46,5.0,5
Dark Avenues / Темные аллеи. Книга для чтения на английском языке,Ivan Bunin,,6.9,4.47,55
Crime And Punishment / Преступление и наказание,Fyodor Dostoyevsky,,6.16,4.0,2
Знак четырех / The Sign of the Four,Arthur Conan Doyle,,4.31,5.0,1
One Flew over the Cuckoo's Nest / Пролетая над гнездом кукушки,Ken Kesey,,4.31,5.0,5
1984. Тысяча девятьсот восемьдесят четвертый / Nineteen Eighty-Four,George Orwell,,6.16,5.0,1
Tanya Grotter And The Magic Double Bass,Dmitri Yemets,,4.31,5.0,3
Arrival,Morgan Rice,,2.46,3.67,12
Transmission,Morgan Rice,,2.46,4.0,9
Ascent,Morgan Rice,,4.93,3.5,8
Rirefly Lane / Улица Светлячков. Книга для чтения на английском языке,Кристин Ханна,,2.09,5.0,1
The Titan / Титан,Theodore Dreiser,,5.17,3.9,11
Кот в сапогах. Красная шапочка / Puss in Boots. Little Red Riding Hood,,,3.07,4.56,9
Гордость и предубеждение / Pride and Prejudice,Jane Austen,,2.7,4.62,21
Портрет Дориана Грея / The Picture of Dorian Gray,Oscar Wilde,,2.7,4.55,20
Dubliners / Дублинцы. Книга для чтения на английском языке,James Augustine Aloysius Joyce,,4.04,4.0,7
